Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Accessibility needs),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (City),Custom field (Comments),Custom field (Company email address),Custom field (Confidence),Custom field (Confidence),Custom field (Date of birth),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Employee ID),Custom field (Employee location),Custom field (Employment type),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (First name),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Job title),Custom field (Last name),Custom field (Last working day),Custom field (Linked items),Custom field (Locked forms),Custom field (Mailing address),Custom field (Major incident),Custom field (Middle name),Custom field (Open forms),Custom field (Pending reason),Custom field (Personal email address),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Rank),Custom field (Region),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residential status),Custom field (Resignation date),Custom field (Responders),Custom field (Roadmap),Custom field (Roadmap),Custom field (Role),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Spec ready),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Team Id,Team Name,Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Value),Custom field (Value),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
name of trigger,MUS-755,45642,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 9:12 PM,31/Mar/26 9:13 PM,,,,0,,,field needs to be more clear as its only asking for name and confuses the user which name they need to enter ,,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58608719,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02db1:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 9:12 PM
Cannot add workflow name when side menu collapses/gets hidden,MUS-754,45640,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 9:11 PM,31/Mar/26 9:12 PM,,,,0,,,add a button for workflow name ,,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fc14ca3,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02dat:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 9:11 PM
[Vault][Charts]: Missing delete action to remove relations between chart elements,MUS-753,45638,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 9:02 PM,31/Mar/26 9:04 PM,,,,0,,,"h3. Impact

Users cannot remove relations between chart elements or delete chart elements in the Vault charts editor. This leads to maintaining incorrect or outdated relations/elements, causing frustration and inefficiency.

h3. Expected behaviour

A clear *Delete* option should be available in the charts editor. This option should allow users to:

* Delete relations between chart elements.
* Delete individual chart elements.  
After deletion, the removed relation should not appear, and the removed element should disappear from the chart.

h3. Actual behaviour

There is no visible *Delete* action in the Vault charts editor. Users cannot:

* Remove relations between chart elements.
* Delete chart elements.

h3. Steps to reproduce

* Open Vault and navigate to a chart with multiple elements and relations.
* Select a relation between two chart elements.
* Try to find an option to delete/remove this relation.
* Select a chart element and try to find an option to delete/remove this element.

h3. Environment

* Vault – Charts / Visualization editor

h3. ",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@220a0fb,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02dal:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 9:02 PM
[Vault][Workflow Engine]: Only one trigger can be configured per workflow instead of multiple,MUS-752,45636,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 8:50 PM,31/Mar/26 8:52 PM,,,,0,,,"h3. Impact

* Leads to invalid workflow configurations.
* Potential for unexpected workflow activations or failures.
* Causes confusion for users managing workflow automation.
* Results in inconsistent system behavior regarding workflow design.

h3. Expected behaviour

Each workflow should have exactly one trigger connected to its start. This trigger is solely responsible for activating the flow. The system should prevent users from adding more than one trigger per workflow.

h3. Actual behaviour

The system permits the addition of up to four triggers for a single workflow. This contradicts the design principle of having one trigger per workflow.

h3. Steps to reproduce

* Configure a workflow in the system.
* Attempt to add multiple triggers to the workflow.
* Observe that the system allows the addition of up to four triggers.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17e9ed87,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02dad:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 8:50 PM
[Vault][Workflow][Audit Logs]: Some workflow activities are missing from activity history logging,MUS-751,45634,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Waleed Hussien,60aa0dcf5c73730069e7ad29,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 8:45 PM,31/Mar/26 8:48 PM,,,,0,,,"Workflow activities are not being fully logged in Vault. This impacts the completeness and accuracy of audit trails.

*Environment:*

* *Product:* Vault
* *Area:* Workflow Activities, Audit Logs

*Steps to Reproduce:*

# Perform various workflow activities within Vault (e.g., approvals, rejections, modifications).
# Navigate to the Audit Log for the respective items/workflows.
# Compare the performed activities with the logged activities.

*Expected Result:*
All workflow activities should be accurately and completely logged in the activity history/audit log.

*Actual Result:*
Some workflow activities are missing from the activity history logging, leading to incomplete audit trails.

*Impact:*

* Incomplete audit trails, making it difficult to track changes and actions.
* Potential compliance issues due to missing activity records.
* Reduced trust in the integrity of the system's logging capabilities.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22e3799d,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02da5:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 8:45 PM
[Vault][Workflow][Activites]: Some workflow activities are missing from activity history logging,MUS-750,45630,Bug,Done,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 7:37 PM,31/Mar/26 8:46 PM,,,,0,,,,,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1974d0c5,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02clm:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,31/Mar/26 8:46 PM
[Vault][Tasks]: Require full details and preview before executing file/workspace actions,MUS-749,45628,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 7:17 PM,31/Mar/26 7:18 PM,,,,0,,,"h3. Impact

Users lack clear understanding of what they are acting on before confirming actions in Vault. This can lead to mistakes, such as deleting the wrong file or workspace.

h3. Expected behaviour

The system should display all key details and a preview of the selected item before executing any action.

h3. Actual behaviour

Currently, users do not see the necessary details or previews before confirming actions, which increases the risk of errors.

h3. Steps to reproduce

* Navigate to Vault.
* Select a file or workspace.
* Trigger a sensitive action (e.g. Delete, Move, Share).
* Observe the absence of a confirmation dialog showing details and previews.

h3. 

h3. Other information

* The required details for files include:
** File name and extension
** File type
** File size
** Location path
** Created by and date
** Last modified by and date
** Status
** Relevant flags
* The required details for workspaces include:
** Workspace name
** Workspace type/category
** Owner
** Number of documents
** Number of subfolders/sub-workspaces
** Last activity date
** High-level permissions info
** Integration flags
* UX/Flow requirements detail how confirmation dialogs should function and what information should be displayed in multi-selection scenarios.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@724f0857,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d99:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 7:17 PM
[Vault][GRC Export]: Exported GRC documents are saved as Draft instead of Final,MUS-748,45626,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 7:09 PM,31/Mar/26 7:11 PM,,,,0,,,"*Summary:* Exporting files from GRC results in the documents being saved as 'Draft' instead of 'Final'.

*Environment:*

* *System:* Musahm GRC (Governance, Risk, and Compliance)
* *Module/Feature:* Document Export Functionality
* *Browser:* [Google Chrome
* *Operating System:* [Windows 11x]

*Steps to Reproduce:*

# Log in to Musahm GRC.
# Navigate to a section that allows document export (e.g., Reports, Document Management, specific GRC module).
# Select a document or a set of documents to export.
# Initiate the export process using the available functionality (e.g., ""Export"" button, ""Download"" option).
# Check the status or content of the exported file.

*Actual Result:*
The exported file is marked or designated as 'Draft' status upon export or download.

*Expected Result:*
The exported file should be marked or designated as 'Final' status, reflecting its completed and ready-for-use state.

*Impact:*

* Users may experience confusion and rework due to inadvertently using or distributing 'Draft' versions of officially exported documents.
* Potential compliance risks if official records are expected to be 'Final' but are generated as 'Draft'.
* Reduced efficiency and trust in the document management process within GRC.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62280d25,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d91:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 7:09 PM
Critical Bug: Workflow Instances Visible and Actionable After Workspace Deletion,MUS-747,45623,Bug,Done,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 6:42 PM,31/Mar/26 7:08 PM,,,,0,,,"h3. Impact

Workflow instances are visible to unintended users after their associated workspace is deleted. This can lead to confusion, incorrect actions on stale data, and potential data corruption. It poses a significant risk to data integrity and user experience.

h3. Expected behaviour

* All workflow instances and their tasks should become inaccessible and un-actionable upon workspace deletion.
* Users should receive clear feedback or error messages when trying to interact with items from a deleted workspace.
* No workflow instances from a deleted workspace should be visible to users who were not the original creators or relevant participants.

h3. Actual behaviour

* Users can see workflow instances linked to a deleted workspace that they did not create.
* Users can approve, reject, or modify items and documents associated with these workflows, despite the workspace being deleted.

h3. Steps to reproduce

* Add a workflow to a specific workspace.
* Delete the workspace (move it to the recycle bin).
* Observe that unintended users can see multiple workflow instances.
* Attempt to approve, reject, or modify items or documents associated with the deleted workspace's workflows.

h3. Environment

windows 11 

chrome browser latest version",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46734b61,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02cli:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,31/Mar/26 7:08 PM
[Vault][Workflows]: Company‑specific workflow appears under other companies,MUS-746,45609,Bug,Ready For Test,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,31/Mar/26 3:42 PM,31/Mar/26 7:08 PM,,,,0,high-priority,,,,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61be531,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02clr:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,31/Mar/26 7:08 PM
